Flight_number,Code,Amount,Restrictions
AA1000,Coach,361,Non-refundable; changes with fee
DL3075,First Class,432,Refundable; lounge access where available
DL3076,Coach,236,Non-refundable; changes with fee
DL3076,Business,425,Refundable with fee; priority boarding
DL3076,First Class,614,Refundable; lounge access where available
DL3077,Coach,317,Non-refundable; changes with fee
DL3077,Business,571,Refundable with fee; priority boarding
DL3077,First Class,824,Refundable; lounge access where available
DL3078,Coach,505,Non-refundable; changes with fee
DL3078,Business,909,Refundable with fee; priority boarding
DL3078,First Class,1313,Refundable; lounge access where available
DL3080,Coach,304,Non-refundable; changes with fee
DL3080,Business,547,Refundable with fee; priority boarding
DL3080,First Class,790,Refundable; lounge access where available
DL3082,Coach,497,Non-refundable; changes with fee
DL3082,Business,895,Refundable with fee; priority boarding
DL3082,First Class,1292,Refundable; lounge access where available
DL3084,Coach,171,Non-refundable; changes with fee
DL3084,Business,308,Refundable with fee; priority boarding
DL3084,First Class,445,Refundable; lounge access where available
DL3090,Coach,209,Non-refundable; changes with fee
DL3090,Business,376,Refundable with fee; priority boarding
DL3090,First Class,543,Refundable; lounge access where available
DL3091,Coach,316,Non-refundable; changes with fee
DL3091,Business,569,Refundable with fee; priority boarding
DL3091,First Class,822,Refundable; lounge access where available
DL3092,Coach,514,Non-refundable; changes with fee
DL3092,Business,925,Refundable with fee; priority boarding
DL3092,First Class,1336,Refundable; lounge access where available
DL3094,Coach,190,Non-refundable; changes with fee
DL3094,Business,342,Refundable with fee; priority boarding
DL3094,First Class,494,Refundable; lounge access where available
DL3096,Coach,175,Non-refundable; changes with fee
DL3096,Business,315,Refundable with fee; priority boarding
DL3096,First Class,455,Refundable; lounge access where available
DL3097,Coach,268,Non-refundable; changes with fee
DL3097,Business,482,Refundable with fee; priority boarding
DL3097,First Class,697,Refundable; lounge access where available
DL3099,Coach,358,Non-refundable; changes with fee
DL3099,Business,644,Refundable with fee; priority boarding
DL3099,First Class,931,Refundable; lounge access where available
WN4003,Coach,248,Non-refundable; changes with fee
WN4003,Business,446,Refundable with fee; priority boarding
WN4003,First Class,645,Refundable; lounge access where available
WN4005,Coach,273,Non-refundable; changes with fee
WN4005,Business,491,Refundable with fee; priority boarding
WN4005,First Class,710,Refundable; lounge access where available
WN4006,Coach,346,Non-refundable; changes with fee
WN4006,Business,623,Refundable with fee; priority boarding
WN4006,First Class,900,Refundable; lounge access where available
WN4010,Coach,167,Non-refundable; changes with fee
WN4010,Business,301,Refundable with fee; priority boarding
WN4010,First Class,434,Refundable; lounge access where available
WN4011,Coach,210,Non-refundable; changes with fee
WN4011,Business,378,Refundable with fee; priority boarding
WN4011,First Class,546,Refundable; lounge access where available
WN4013,Coach,503,Non-refundable; changes with fee
WN4013,Business,905,Refundable with fee; priority boarding
WN4013,First Class,1308,Refundable; lounge access where available
WN4014,Coach,508,Non-refundable; changes with fee
WN4014,Business,914,Refundable with fee; priority boarding
WN4014,First Class,1321,Refundable; lounge access where available
WN4016,Coach,191,Non-refundable; changes with fee
WN4016,Business,344,Refundable with fee; priority boarding
WN4016,First Class,497,Refundable; lounge access where available
WN4018,Coach,257,Non-refundable; changes with fee
WN4018,Business,463,Refundable with fee; priority boarding
WN4018,First Class,668,Refundable; lounge access where available
WN4022,Coach,273,Non-refundable; changes with fee
WN4022,Business,491,Refundable with fee; priority boarding
WN4022,First Class,710,Refundable; lounge access where available
WN4023,Coach,272,Non-refundable; changes with fee
WN4023,Business,490,Refundable with fee; priority boarding
WN4023,First Class,707,Refundable; lounge access where available
WN4024,Coach,305,Non-refundable; changes with fee
WN4024,Business,549,Refundable with fee; priority boarding
WN4024,First Class,793,Refundable; lounge access where available
WN4025,Coach,448,Non-refundable; changes with fee
WN4025,Business,806,Refundable with fee; priority boarding
WN4025,First Class,1165,Refundable; lounge access where available
WN4028,Coach,407,Non-refundable; changes with fee
WN4028,Business,733,Refundable with fee; priority boarding
WN4028,First Class,1058,Refundable; lounge access where available
WN4029,Coach,642,Non-refundable; changes with fee
WN4029,Business,1156,Refundable with fee; priority boarding
WN4029,First Class,1669,Refundable; lounge access where available
WN4031,Coach,235,Non-refundable; changes with fee
WN4031,Business,423,Refundable with fee; priority boarding
WN4031,First Class,611,Refundable; lounge access where available
WN4033,Coach,556,Non-refundable; changes with fee
WN4033,Business,1001,Refundable with fee; priority boarding
WN4033,First Class,1446,Refundable; lounge access where available
WN4034,Coach,341,Non-refundable; changes with fee
WN4034,Business,614,Refundable with fee; priority boarding
WN4034,First Class,887,Refundable; lounge access where available
WN4035,Coach,423,Non-refundable; changes with fee
WN4035,Business,761,Refundable with fee; priority boarding
WN4035,First Class,1100,Refundable; lounge access where available
WN4038,Coach,317,Non-refundable; changes with fee
WN4038,Business,571,Refundable with fee; priority boarding
WN4038,First Class,824,Refundable; lounge access where available
WN4039,Coach,243,Non-refundable; changes with fee
WN4039,Business,437,Refundable with fee; priority boarding
WN4039,First Class,632,Refundable; lounge access where available
WN4041,Coach,309,Non-refundable; changes with fee
WN4041,Business,556,Refundable with fee; priority boarding
WN4041,First Class,803,Refundable; lounge access where available
WN4042,Coach,201,Non-refundable; changes with fee
WN4042,Business,362,Refundable with fee; priority boarding
WN4042,First Class,523,Refundable; lounge access where available
WN4043,Coach,207,Non-refundable; changes with fee
WN4043,Business,373,Refundable with fee; priority boarding
WN4043,First Class,538,Refundable; lounge access where available
WN4046,Coach,215,Non-refundable; changes with fee
WN4046,Business,387,Refundable with fee; priority boarding
WN4046,First Class,559,Refundable; lounge access where available
WN4047,Coach,351,Non-refundable; changes with fee
WN4047,Business,632,Refundable with fee; priority boarding
WN4047,First Class,913,Refundable; lounge access where available
WN4049,Coach,102,Non-refundable; changes with fee
WN4049,Business,184,Refundable with fee; priority boarding
WN4049,First Class,265,Refundable; lounge access where available
WN4051,Coach,150,Non-refundable; changes with fee
WN4051,Business,270,Refundable with fee; priority boarding
WN4051,First Class,390,Refundable; lounge access where available
WN4052,Coach,556,Non-refundable; changes with fee
WN4052,Business,1001,Refundable with fee; priority boarding
WN4052,First Class,1446,Refundable; lounge access where available
WN4053,Coach,343,Non-refundable; changes with fee
WN4053,Business,617,Refundable with fee; priority boarding
WN4053,First Class,892,Refundable; lounge access where available
WN4054,Coach,225,Non-refundable; changes with fee
WN4054,Business,405,Refundable with fee; priority boarding
WN4054,First Class,585,Refundable; lounge access where available
WN4055,Coach,181,Non-refundable; changes with fee
WN4055,Business,326,Refundable with fee; priority boarding
WN4055,First Class,471,Refundable; lounge access where available
WN4056,Coach,507,Non-refundable; changes with fee
WN4056,Business,913,Refundable with fee; priority boarding
WN4056,First Class,1318,Refundable; lounge access where available
WN4057,Coach,277,Non-refundable; changes with fee
WN4057,Business,499,Refundable with fee; priority boarding
WN4057,First Class,720,Refundable; lounge access where available
WN4058,Coach,213,Non-refundable; changes with fee
WN4058,Business,383,Refundable with fee; priority boarding
WN4058,First Class,554,Refundable; lounge access where available
WN4060,Coach,227,Non-refundable; changes with fee
WN4060,Business,409,Refundable with fee; priority boarding
WN4060,First Class,590,Refundable; lounge access where available
WN4061,Coach,432,Non-refundable; changes with fee
WN4061,Business,778,Refundable with fee; priority boarding
WN4061,First Class,1123,Refundable; lounge access where available
WN4062,Coach,198,Non-refundable; changes with fee
WN4062,Business,356,Refundable with fee; priority boarding
WN4062,First Class,515,Refundable; lounge access where available
WN4063,Coach,195,Non-refundable; changes with fee
WN4063,Business,351,Refundable with fee; priority boarding
WN4063,First Class,507,Refundable; lounge access where available
WN4064,Coach,137,Non-refundable; changes with fee
WN4064,Business,247,Refundable with fee; priority boarding
WN4064,First Class,356,Refundable; lounge access where available
WN4069,Coach,282,Non-refundable; changes with fee
WN4069,Business,508,Refundable with fee; priority boarding
WN4069,First Class,733,Refundable; lounge access where available
WN4070,Coach,246,Non-refundable; changes with fee
WN4070,Business,443,Refundable with fee; priority boarding
WN4070,First Class,640,Refundable; lounge access where available
WN4071,Coach,203,Non-refundable; changes with fee
WN4071,Business,365,Refundable with fee; priority boarding
WN4071,First Class,528,Refundable; lounge access where available
WN4073,Coach,144,Non-refundable; changes with fee
WN4073,Business,259,Refundable with fee; priority boarding
WN4073,First Class,374,Refundable; lounge access where available
WN4074,Coach,260,Non-refundable; changes with fee
WN4074,Business,468,Refundable with fee; priority boarding
WN4074,First Class,676,Refundable; lounge access where available
WN4076,Coach,370,Non-refundable; changes with fee
WN4076,Business,666,Refundable with fee; priority boarding
WN4076,First Class,962,Refundable; lounge access where available
WN4077,Coach,254,Non-refundable; changes with fee
WN4077,Business,457,Refundable with fee; priority boarding
WN4077,First Class,660,Refundable; lounge access where available
WN4079,Coach,382,Non-refundable; changes with fee
WN4079,Business,688,Refundable with fee; priority boarding
WN4079,First Class,993,Refundable; lounge access where available
WN4080,Coach,177,Non-refundable; changes with fee
WN4080,Business,319,Refundable with fee; priority boarding
WN4080,First Class,460,Refundable; lounge access where available
WN4081,Coach,117,Non-refundable; changes with fee
WN4081,Business,211,Refundable with fee; priority boarding
WN4081,First Class,304,Refundable; lounge access where available
WN4083,Coach,189,Non-refundable; changes with fee
WN4083,Business,340,Refundable with fee; priority boarding
WN4083,First Class,491,Refundable; lounge access where available
WN4084,Coach,163,Non-refundable; changes with fee
WN4084,Business,293,Refundable with fee; priority boarding
WN4084,First Class,424,Refundable; lounge access where available
WN4086,Coach,417,Non-refundable; changes with fee
WN4086,Business,751,Refundable with fee; priority boarding
WN4086,First Class,1084,Refundable; lounge access where available
WN4087,Coach,225,Non-refundable; changes with fee
WN4087,Business,405,Refundable with fee; priority boarding
WN4087,First Class,585,Refundable; lounge access where available
WN4088,Coach,650,Non-refundable; changes with fee
WN4088,Business,1170,Refundable with fee; priority boarding
WN4088,First Class,1690,Refundable; lounge access where available
WN4089,Coach,468,Non-refundable; changes with fee
WN4089,Business,842,Refundable with fee; priority boarding
WN4089,First Class,1217,Refundable; lounge access where available
WN4090,Coach,172,Non-refundable; changes with fee
WN4090,Business,310,Refundable with fee; priority boarding
WN4090,First Class,447,Refundable; lounge access where available
WN4093,Coach,356,Non-refundable; changes with fee
WN4093,Business,641,Refundable with fee; priority boarding
WN4093,First Class,926,Refundable; lounge access where available
WN4095,Coach,501,Non-refundable; changes with fee
WN4095,Business,902,Refundable with fee; priority boarding
WN4095,First Class,1303,Refundable; lounge access where available
WN4097,Coach,171,Non-refundable; changes with fee
WN4097,Business,308,Refundable with fee; priority boarding
WN4097,First Class,445,Refundable; lounge access where available
WN4099,Coach,323,Non-refundable; changes with fee
WN4099,Business,581,Refundable with fee; priority boarding
WN4099,First Class,840,Refundable; lounge access where available
